Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
132_R1_001	107.271	61.19207550832475	16498936.0
151_R1_001	120.034	66.1663777632307	21914346.0
254_R1_001	129.646	53.55866619103664	8838799.0
334_R1_001	108.323	57.481951564129396	14570947.0
349_R1_001	89.0155	36.500113596620636	11747217.0
380821_S2_R1_001	161.287	69.66338558952963	12011432.0
380823_S4_R1_001	162.761	69.83638579377856	12248008.0
380825_S6_R1_001	159.059	73.02677218405114	14879689.0
445_R1_001	93.9521	57.19020322372621	17069958.0
481_R1_001	86.1161	35.7176157166586	17397577.0
485_R1_001	117.621	61.33973490040264	15525247.0
