Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
132_R1_001	26962537.0	16498936.0	10463601.0	61.19207550832475	107.271
151_R1_001	33120063.0	21914346.0	11205717.0	66.1663777632307	120.034
254_R1_001	16503023.0	8838799.0	7664224.0	53.55866619103664	129.646
334_R1_001	25348734.0	14570947.0	10777787.0	57.481951564129396	108.323
349_R1_001	32184056.0	11747217.0	20436839.0	36.500113596620636	89.0155
380821_S2_R1_001	17242102.0	12011432.0	5230670.0	69.66338558952963	161.287
380823_S4_R1_001	17538147.0	12248008.0	5290139.0	69.83638579377856	162.761
380825_S6_R1_001	20375663.0	14879689.0	5495974.0	73.02677218405114	159.059
445_R1_001	29847696.0	17069958.0	12777738.0	57.19020322372621	93.9521
481_R1_001	48708674.0	17397577.0	31311097.0	35.7176157166586	86.1161
485_R1_001	25310261.0	15525247.0	9785014.0	61.33973490040264	117.621
